Unnamed: 0,Star_Name_1,Distance_1,Star_Mass_1,Star_Radius_1,Star_Name,Distance,Star_Mass,Star_Radius
84,R136a1,"0163,000",290,32,DENIS-P J1058.7−1548,49.0,6.576832,0.000954588
85,Melnick 42,"0163,000",189,21.1,TWA 28,180.0,3.699468,0.00228146532
86,WR 102,"018,134",19,0.39,Cha 110913-773444,163.0,0.822104,0.0017182584
87,VFTS 352,"0164,000",57.48,14.47,SDSS J111010.01+011613.1,63.0,0.924867,0.00118368912
88,YBP 1194,"02,772",1.01,0.99,2MASS J11145133−2618235,18.2,3.391179,0.00091640448
89,Gliese 1214,047.5,0.16,0.21,TWA 26,137.0,3.08289,0.0021000936
90,NML Cygni,"05,251",50,"1,640 - 2,770",2MASS J11544223-3400390 [de],129.0,3.802231,0.001431882
91,VB 10,018.72,0.075,0.10,2MASSW J1155395-372735 [de],31.0,6.576832,0.000954588
92,WOH G64,"0163,000",<20,"1,540 - 1,730",2MASS J12074836-3900043,217.0,1.7469709999999998,0.00163234548
93,TRAPPIST-1,039.6,0.089,0.12,2MASSI J1217110-031113 [de],36.0,4.316046,0.00089731272
94,2MASS J0523-1403,040.3,0.07,0.086,2M 1237+6526,45.6,4.213283,0.00089731272
95,WISE 0855−0714,07.27,0.003,?,TWA 29,262.0,2.569075,0.001909176
96,Icarus,"014,400,000,000",33,?,SDSSp J125453.90-012247.4 [de],38.0,4.829860999999999,0.00093549624
